cafe_id,beverage,dessert,various_menu,special_menu,large_store,background,talking,concentration,trendy_store,label,low_price,high_price,parking,gift_packaging,common_keywords
0,2.6530612244897958,1.7084548104956268,1.0,1.3673469387755102,1.0,1.1228091236494597,1.306122448979592,1.0,1.183673469387755,7,-0.33606191836448374,-0.07871652425798202,0.5809770689204512,-0.09141251033412094,-0.24347354217418102
2,2.361111111111111,1.5357142857142856,1.0,1.1666666666666667,1.0,1.55718954248366,1.4722222222222223,1.0459463824289406,1.3333333333333333,5,-0.6980000775079864,-0.07871652425798202,-0.5001151983912395,0.309077146065118,-0.8571967064234758
4,2.5737704918032787,1.5058548009367683,1.0,1.110655737704918,1.0,1.2466248794599806,1.5655737704918034,1.1626953869614944,1.1721311475409837,5,0.1762706356742643,-0.07871652425798202,-0.41866304126501624,-0.09141251033412094,-0.7505938335100366
5,2.7142857142857144,1.5510204081632653,1.0,1.3214285714285714,1.0,1.0,1.6428571428571428,1.0,1.0,5,0.2671683468746873,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.4398649547339553
6,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,6,-1.0599382366514891,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.709903147003645
7,2.6754176610978524,2.1414933515172176,1.0,1.0,1.0,1.0,1.0,1.0,1.4367541766109784,7,-1.0599382366514891,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.27846281682563495
8,3.048780487804878,2.2229965156794425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,-1.0599382366514891,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.13124987785431
9,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0.7095372080500795,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.6198904162470817
10,2.6,1.7714285714285714,1.0,1.45,1.0,1.0,1.0,1.4962209302325582,1.2,7,0.2140840835336404,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,1.0723489219763072
11,2.3856502242152464,1.6053811659192827,1.0,1.5246636771300448,1.0,1.0539699287786863,1.4573991031390134,1.0667561789550526,1.2690582959641254,5,-1.0090587510210927,-0.07871652425798202,-0.4431247114562782,-0.09141251033412094,-0.784961686069022
13,2.0,1.8667736757624398,1.0,1.1348314606741572,1.0,1.0,1.2696629213483146,1.2601907499346747,1.8089887640449438,4,-0.14469231697826396,-0.07871652425798202,0.1149890226654121,-0.09141251033412094,2.6143601164542596
15,2.632911392405063,2.7576853526220617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1.1475261795108642,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-1.520017723812714
16,2.093220338983051,1.8171912832929782,1.0,1.3432203389830508,1.0,1.0,1.1271186440677967,1.042052621206149,1.8898305084745761,4,-1.0599382366514891,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,2.7714000344191114
17,1.6131045241809672,2.149320258524627,1.0,1.8845553822152885,1.0,1.0,1.0,1.0,1.9032761310452417,3,-1.0599382366514891,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-1.015448091198069
18,2.0419847328244276,2.3544165757906215,1.0,1.515267175572519,1.0,1.0459362370902558,1.1946564885496183,1.1325781111308362,1.2633587786259541,3,1.1258843715092726,-0.07871652425798202,-0.5001151983912395,1.290669441161292,2.8641317506834247
19,2.560693641618497,1.5127993393889347,1.0,1.3381502890173411,1.0,1.139136348180891,1.4335260115606938,1.2294663261191021,1.1734104046242775,5,-0.7711378402364664,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.31114208588000997
20,2.4136125654450264,1.8077786088257293,1.0,1.2827225130890052,1.0,1.2835540498922082,1.2984293193717278,1.0,1.3298429319371727,5,-0.834580514920629,-0.07871652425798202,0.8461506439214319,-0.09141251033412094,0.03907070702738116
21,2.2857142857142856,1.7187222715173025,1.0,1.1816770186335404,1.0,1.3177018633540372,1.3819875776397517,1.1386952910587895,1.4099378881987579,5,-0.9868864981087638,-0.07871652425798202,0.7763671392510962,-0.09141251033412094,-0.8481428821288622
22,2.475806451612903,1.5288018433179724,1.0,1.2419354838709677,1.0,1.2264705882352942,1.4758064516129032,1.2667854463615904,1.2016129032258065,5,-0.8824648450952397,-0.07871652425798202,1.4877773436566317,-0.09141251033412094,-0.7544413926825982
23,1.6375,2.7357142857142858,1.0,1.8156249999999998,1.0,1.0,1.0,1.0,1.46875,0,-1.0599382366514891,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.5910863424049815
24,2.83,1.5785714285714285,1.0,1.225,1.0,1.0,1.3,1.248110465116279,1.12,5,-0.8215358563773257,-0.07871652425798202,0.35440084523237236,-0.09141251033412094,-0.8408797552302609
26,3.4344262295081966,1.2371194379391102,1.0,1.276639344262295,1.0,1.0739874638379943,1.0614754098360655,1.0610107701105604,1.0614754098360655,6,1.1318684553046354,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-0.594172493173778
27,1.8181818181818181,2.095779220779221,1.0,1.4602272727272727,1.0,1.0,1.0681818181818181,1.2255549682875264,1.8181818181818181,3,-0.35735239831410154,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,1.8157481806952172
28,2.6578947368421053,1.3045112781954886,1.0,1.4736842105263157,1.0,1.3958978328173375,1.118421052631579,1.1305844553243574,1.3947368421052633,5,0.648782686343588,-0.07871652425798202,0.8779294513579973,-0.09141251033412094,-0.2822460957267544
29,3.178082191780822,1.264187866927593,1.0,1.0,1.0,1.1648670427074939,1.1643835616438356,1.135950939789742,1.2876712328767124,2,0.07758169208523355,-0.07871652425798202,0.1948726877377045,-0.09141251033412094,1.257517968104094
30,2.7857142857142856,1.0,1.0,1.6428571428571428,1.0,1.0,1.7857142857142858,1.0,1.0,2,0.09406748815388181,-0.07871652425798202,-0.5001151983912395,-0.09141251033412094,-1.520017723812714
31,3.5670103092783503,1.2385861561119293,1.0,1.1391752577319587,1.0,1.0,1.0618556701030928,1.0,1.0927835051546393,6,1.3148840707111424,-0.07871652425798202,-0.34364131759612637,-0.09141251033412094,0.46973737712184166
32,3.546938775510204,1.1889212827988338,1.0,1.1653061224489796,1.0,1.049123649459784,1.073469387755102,1.0607617465590888,1.0612244897959184,6,0.43607282114165524,-0.07871652425798202,-0.3559695627496807,-0.09141251033412094,-0.9373898665520503
